price,year,manufacturer,condition,cylinders,fuel,odometer,transmission,type,paint_color,F1,F2,F3,F4
7456.0,1994.0,ford,good,8 cylinders,gas,109800.0,automatic,truck,red,196,1.8482536671976968,-0.037913694916870994,c
9656.0,2012.0,ford,excellent,4 cylinders,gas,166996.0,automatic,sedan,white,3526,2.270477440021708,0.2212585817942448,a
16341.0,2018.0,ford,excellent,4 cylinders,gas,52524.0,automatic,SUV,red,2295,2.321154147804041,-0.021504813231175784,c
6946.0,2008.0,ford,good,6 cylinders,gas,120973.0,automatic,SUV,white,1658,2.279993614958551,0.16146432184221904,c
10426.0,2013.0,ford,good,6 cylinders,gas,155800.0,automatic,SUV,silver,2690,2.363127963650068,0.013814822756169756,b
24152.0,2017.0,subaru,excellent,4 cylinders,gas,36627.0,automatic,SUV,white,3362,2.2605967718073066,0.061683915140600176,b
6528.0,2006.0,ford,good,8 cylinders,gas,158938.0,automatic,pickup,white,250,2.212848978579557,-0.15500620982889005,c
19389.0,2016.0,ford,like new,6 cylinders,gas,111590.0,automatic,truck,red,1382,2.324808421485784,0.259681809233608,a
3322.0,1989.0,ford,good,4 cylinders,gas,75000.0,manual,truck,white,159,1.7619206760408204,0.1286599551815149,a
10721.0,2011.0,ford,good,4 cylinders,gas,75775.0,automatic,SUV,red,2888,2.2312222808585944,-0.024924406084139556,c
4415.0,1996.0,ford,good,8 cylinders,gas,225000.0,automatic,SUV,black,541,1.900668602176097,0.2070312920945449,b
5909.0,2002.0,ford,good,6 cylinders,gas,211000.0,manual,truck,blue,236,1.9285155034252,-0.016490103253620592,a
8556.0,2013.0,ford,excellent,6 cylinders,gas,106121.0,automatic,sedan,white,221,2.135159684477032,-0.04877695194479045,c
20812.0,2013.0,ford,excellent,8 cylinders,gas,174000.0,automatic,pickup,blue,118,2.2667266328638216,0.3104373155640794,a
800.0,2017.0,ford,excellent,6 cylinders,gas,90273.0,automatic,truck,white,4648,2.6197229661391783,-0.020023209054465863,b
15398.0,2018.0,ford,excellent,4 cylinders,gas,64879.0,automatic,SUV,white,1951,2.4572841972981463,0.04040047235035801,c
4036.0,2003.0,ford,fair,4 cylinders,gas,142000.0,automatic,SUV,silver,1049,2.0511761319653155,0.15311149874724114,c
36511.0,2018.0,ford,good,8 cylinders,gas,5259.0,automatic,pickup,red,4971,2.4461380977295164,0.095766434537259,b
1634.0,2003.0,ford,good,6 cylinders,gas,142000.0,automatic,truck,silver,710,1.8331114647749305,0.08919726728584386,c
17654.0,2014.0,ford,excellent,6 cylinders,gas,133167.0,automatic,pickup,white,4291,2.3043512075439136,0.10370620266495452,c
24837.0,2015.0,ford,like new,8 cylinders,gas,168000.0,automatic,truck,silver,555,2.3920109005274366,0.08000209853727754,c
41670.0,2019.0,ford,excellent,6 cylinders,gas,22002.0,automatic,truck,red,4348,2.4708479915033235,0.15321680946507055,a
4419.0,2012.0,ford,like new,4 cylinders,gas,150000.0,automatic,sedan,white,425,2.4376262082237314,-0.020176071456241187,a
2525.0,2007.0,ford,fair,8 cylinders,gas,115000.0,automatic,sedan,blue,294,2.2274664789836933,0.0101613093092809,c
31863.0,2018.0,ford,excellent,6 cylinders,gas,62939.0,automatic,SUV,silver,4454,2.467874563545045,0.2752714737532041,c
20915.0,2020.0,subaru,like new,4 cylinders,gas,11342.0,automatic,sedan,white,1211,2.494662382807676,0.045993434357110174,c
14862.0,2013.0,ford,excellent,8 cylinders,gas,117439.0,automatic,truck,white,486,2.1926634929640247,0.10131613237075192,c
43963.0,2020.0,ford,excellent,8 cylinders,gas,15899.0,automatic,pickup,black,1081,2.67909383768498,0.07240802695515278,c
2178.0,1990.0,ford,good,6 cylinders,gas,151000.0,automatic,truck,red,322,1.66704965079579,0.03706069717749017,c
7669.0,2002.0,ford,excellent,8 cylinders,gas,217001.0,automatic,truck,blue,228,2.0955953207638656,-0.017344909960207544,b
4868.0,2003.0,ford,good,8 cylinders,gas,178705.0,automatic,SUV,black,321,2.100388029792227,0.0432044218673636,b
17632.0,2017.0,ford,excellent,4 cylinders,gas,84313.0,automatic,SUV,white,2419,2.584482910330544,0.052338956504940186,b
25140.0,2017.0,ford,excellent,8 cylinders,gas,121974.0,automatic,pickup,white,4800,2.4229656702565454,0.07154327683793449,a
13046.0,2013.0,ford,excellent,4 cylinders,gas,105834.0,automatic,sedan,blue,318,2.184472389203568,0.0897015036370821,a
2014.0,2005.0,ford,good,6 cylinders,gas,,automatic,truck,blue,132,2.206159895790544,-0.12425624666755845,c
9177.0,1990.0,ford,good,8 cylinders,gas,56233.0,manual,truck,white,229,1.8671734300132163,0.1472941761665972,c
62298.0,2020.0,ford,like new,8 cylinders,gas,1625.0,automatic,truck,blue,960,2.3309338019677925,0.16611028369614553,a
14998.0,2010.0,ford,excellent,8 cylinders,gas,147000.0,automatic,pickup,blue,916,2.307270253477233,0.11568423368042753,a
6013.0,2012.0,ford,excellent,6 cylinders,gas,120000.0,automatic,SUV,blue,339,2.168153378432768,0.010527452962345793,c
50462.0,2020.0,ford,excellent,8 cylinders,gas,10777.0,automatic,truck,black,292,2.3663746293752546,0.2415377918368193,b
6501.0,2006.0,ford,good,8 cylinders,gas,251499.0,automatic,pickup,silver,438,2.2569884989976297,0.14052484608979374,b
8483.0,2003.0,ford,good,8 cylinders,gas,109000.0,automatic,truck,white,451,2.043930464692422,0.06439920336386085,a
8427.0,2016.0,ford,excellent,4 cylinders,gas,,automatic,sedan,red,4636,2.400190954669002,-0.007692840625940667,a
4396.0,2006.0,ford,fair,4 cylinders,gas,290000.0,automatic,truck,white,226,2.220578007251006,0.11307502050735753,a
22270.0,2013.0,ford,good,6 cylinders,gas,147728.0,automatic,truck,blue,2295,2.3168062819940647,0.2128239562097993,a
2027.0,2001.0,ford,good,6 cylinders,gas,163269.0,automatic,sedan,white,593,1.9123774464784549,0.16859169246445585,b
0.0,2011.0,ford,excellent,6 cylinders,gas,153763.0,automatic,sedan,blue,7525,2.265438680523083,0.18496852944866626,c
16264.0,2013.0,ford,good,6 cylinders,gas,135892.0,automatic,truck,white,566,2.4161058209757043,0.15403217311751716,b
7327.0,2014.0,ford,excellent,4 cylinders,gas,103792.0,automatic,sedan,red,217,2.280015231846651,0.0472671202333409,c
17964.0,2013.0,ford,like new,6 cylinders,gas,51710.0,automatic,SUV,white,149,2.1995597089616337,0.14428665967717347,b
47470.0,2018.0,ford,good,8 cylinders,gas,26776.0,automatic,truck,white,1614,2.3783152661448583,0.11252614339975008,b
26041.0,2017.0,subaru,like new,4 cylinders,gas,17000.0,automatic,SUV,silver,484,2.4831027188307337,-0.054290195409780966,b
31688.0,2017.0,ford,excellent,6 cylinders,gas,42500.0,automatic,SUV,black,385,2.3056478005697665,0.16557794817526394,b
8240.0,2012.0,subaru,excellent,4 cylinders,gas,95000.0,manual,sedan,white,231,2.233600284026769,0.06288007294290489,b
14031.0,2014.0,ford,good,4 cylinders,gas,76000.0,automatic,sedan,white,1249,2.5327676257342158,0.10264003571277697,b
43570.0,2016.0,ford,good,8 cylinders,gas,18175.0,automatic,pickup,red,5060,2.4139147777897367,0.2583095183240048,b
16475.0,2013.0,ford,good,8 cylinders,gas,137278.0,automatic,truck,white,2035,2.480718640903376,0.12363879743849265,b
3694.0,2006.0,ford,good,6 cylinders,gas,107000.0,automatic,SUV,white,290,2.131217279234781,-0.0015085770939377294,c
25197.0,2017.0,ford,excellent,6 cylinders,gas,56697.0,automatic,pickup,black,1056,2.2550457150890844,-0.08512662338315075,a
17637.0,2013.0,subaru,excellent,4 cylinders,gas,116914.0,manual,sedan,silver,3219,2.210396447111437,0.05912183565433246,b
14205.0,2014.0,ford,good,8 cylinders,gas,170000.0,automatic,pickup,white,428,2.236826336759954,0.11757344901624953,b
5824.0,2008.0,ford,excellent,4 cylinders,gas,171.0,automatic,sedan,black,1393,2.1605729687828408,0.1548431925642268,b
19294.0,2018.0,ford,excellent,4 cylinders,gas,77000.0,automatic,sedan,white,397,2.3598849619342728,0.1749662788563105,a
6276.0,1991.0,ford,good,8 cylinders,gas,71593.0,automatic,truck,white,414,1.7515826147247067,0.09624075390271104,b
38142.0,2015.0,ford,good,6 cylinders,gas,85500.0,automatic,truck,black,518,2.217485932239828,0.17632269315800578,a
29099.0,2019.0,ford,excellent,6 cylinders,gas,16753.0,automatic,sedan,white,2624,2.3184830924711393,0.03927613002831253,c
0.0,2016.0,ford,excellent,8 cylinders,gas,68665.0,automatic,truck,white,3629,2.2882326858959203,-0.07179503492869671,c
800.0,2010.0,ford,excellent,6 cylinders,gas,116213.0,automatic,SUV,white,5252,2.1699507356980368,0.19453178291331816,b
8979.0,2011.0,ford,excellent,6 cylinders,gas,82000.0,automatic,SUV,black,303,2.3509236654191508,0.1083662846139425,a
22654.0,2014.0,ford,like new,8 cylinders,gas,152377.0,automatic,truck,white,1176,2.267611257137376,0.19264724814802744,c
44932.0,2018.0,ford,like new,6 cylinders,gas,12359.0,automatic,SUV,white,907,2.5148996110227624,0.05804083342893425,a
7120.0,2012.0,subaru,excellent,4 cylinders,gas,174000.0,automatic,SUV,white,410,2.2704127041840247,-0.054319177408357455,a
2446.0,1987.0,ford,good,6 cylinders,gas,,automatic,truck,red,700,1.628979479296616,0.09715115712589843,b
4113.0,2002.0,ford,excellent,6 cylinders,gas,100000.0,automatic,SUV,silver,78,2.115331535662964,0.03226723951896375,a
16381.0,2014.0,ford,excellent,4 cylinders,gas,49189.0,automatic,sedan,red,6239,2.3606875424097207,0.06587219947969483,a
16480.0,2014.0,ford,good,6 cylinders,gas,8000.0,automatic,SUV,red,260,2.2114050792483866,0.030974558706793262,a
13296.0,1999.0,ford,excellent,8 cylinders,gas,102223.0,automatic,truck,red,378,2.008568327334111,0.08664899612436251,b
4864.0,2010.0,ford,good,6 cylinders,gas,129000.0,automatic,SUV,white,142,2.135063506051033,0.1310868297162728,c
500.0,2009.0,ford,excellent,6 cylinders,gas,128167.0,automatic,SUV,red,1520,2.1775878313397157,0.055063445270139184,a
4288.0,2011.0,ford,excellent,8 cylinders,gas,132586.0,automatic,sedan,silver,356,2.301605979991268,0.08374814480644993,a
12754.0,2013.0,ford,like new,6 cylinders,gas,115000.0,automatic,SUV,black,722,2.1979185632317653,0.09672768123094587,b
12768.0,2011.0,ford,excellent,6 cylinders,gas,209460.0,automatic,truck,silver,225,2.1720025311288302,0.1081583272772845,b
18160.0,2013.0,subaru,like new,4 cylinders,gas,88000.0,manual,sedan,white,1222,2.3912517869567176,0.05211545548069309,b
28773.0,2012.0,ford,excellent,8 cylinders,gas,195213.0,automatic,truck,white,876,2.185798293780544,0.3108476052637117,c
29580.0,2015.0,ford,excellent,6 cylinders,gas,160000.0,automatic,truck,white,424,2.417629366298228,0.14651408183994355,c
28983.0,2016.0,ford,good,8 cylinders,gas,118961.0,automatic,truck,white,1131,2.32197765448085,0.18704484028870266,a
5984.0,2006.0,ford,good,4 cylinders,gas,127291.0,automatic,SUV,black,442,2.0597148047047624,0.14246925378962025,a
5503.0,2008.0,ford,good,6 cylinders,gas,121000.0,automatic,sedan,silver,3068,2.1628238972526783,0.0016062659925168974,a
7636.0,2010.0,ford,excellent,6 cylinders,gas,100281.0,automatic,sedan,white,308,2.301323495566146,0.019563371474641076,a
3568.0,2014.0,ford,excellent,6 cylinders,gas,160211.0,automatic,pickup,black,153,2.2559523181498515,-0.07720417387520087,b
18765.0,2011.0,ford,excellent,8 cylinders,gas,140491.0,automatic,pickup,white,1548,2.258193880466886,0.14193761877128375,a
0.0,2013.0,ford,excellent,6 cylinders,gas,61985.0,automatic,sedan,black,1684,2.2888348309543107,0.22352890150719013,c
3980.0,2005.0,subaru,fair,4 cylinders,gas,220000.0,automatic,SUV,silver,229,2.121123392488561,0.2210510213481164,a
